partei,stimmen,prozent,wk
CDU,1312,"21,8 (+0,0)",43
GRÜNE,1397,"23,2 (+0,0)",43
SPD,1091,"18,1 (+0,0)",43
AfD,810,"13,4 (+0,0)",43
FDP,391,"6,5 (+0,0)",43
DIE LINKE,627,"10,4 (+0,0)",43
FREIE WÄHLER,138,"2,3 (-0,0)",43
Tierschutzpartei,70,"1,2 (-0,0)",43
Die PARTEI,51,"0,8 (-0,0)",43
PIRATEN,43,"0,7 (-0,0)",43
ÖDP,10,"0,2 (-0,0)",43
Verjüngungsforschung,0,"0,0 (+0,0)",43
V-Partei³,0,"0,0 (+0,0)",43
PdH,0,"0,0 (+0,0)",43
ABG,0,"0,0 (+0,0)",43
APPD,0,"0,0 (+0,0)",43
dieBasis,0,"0,0 (+0,0)",43
DKP,0,"0,0 (+0,0)",43
DIE NEUE MITTE,0,"0,0 (+0,0)",43
Volt,0,"0,0 (+0,0)",43
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",43
